yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
200202,1106.73,15.733333333333334,24.69666666666667,0.13011908568679617,0.0172,0.06509999999999999,0.0789,0.0563,0.012501026727261978,0.0013,0.0039525691699606735,0.0115,0.013000000000000001,0.002567831979000001,-0.0018207545,-0.019481,-0.020973
200203,1147.39,15.73,24.700000000000003,0.23683340230085725,0.0179,0.0681,0.08109999999999999,0.0604,0.013761371083999776,0.0013,0.0056242969628796935,-0.0436,-0.029500000000000002,0.0020148243980000003,-0.0022385902,0.037572,0.03669
200204,1076.92,15.833,25.380000000000003,0.24773231255207134,0.0171,0.0676,0.0803,0.0575,0.015108861753893693,0.0015,0.005592841163311046,0.041,0.0253,0.002319716788,-0.0020475182,-0.061001,-0.061826
200205,1067.14,15.936,26.06,0.24825561406925717,0.0173,0.0675,0.0809,0.0578,0.022279336074493682,0.0014000000000000002,0.0,0.0015,0.011300000000000001,0.004101624997000001,-0.002141779,-0.0078,-0.009438
200206,989.81,16.039,26.74,0.26657250177680364,0.017,0.0663,0.0795,0.0566,0.02752489697391981,0.0013,0.0005561735261401246,0.0187,0.0073,0.0037079692790000004,-0.0026067905,-0.071349,-0.072611
200207,911.62,15.959,27.839999999999996,0.28203219448297867,0.0168,0.0653,0.079,0.0544,0.028443333598056557,0.0015,0.0011117287381878782,0.0303,0.0094,0.015342791354000001,-0.0024205352,-0.073987,-0.075074
200208,916.07,15.879,28.939999999999998,0.284411555995003,0.016200000000000003,0.0637,0.0758,0.051,0.024749986032815866,0.0014000000000000002,0.003331482509716821,0.046400000000000004,0.045200000000000004,0.009409277857999998,-0.0029084989,0.007061,0.005401
200209,815.29,15.799,30.04,0.3245551554638465,0.0163,0.061500000000000006,0.07400000000000001,0.048,0.029301838729491967,0.0014000000000000002,0.0016602102933038765,0.0417,0.033,0.007366061247999999,-0.0032126151,-0.108965,-0.110421
200210,885.76,15.890666666666664,29.223333333333333,0.2934370637545664,0.0158,0.0632,0.07730000000000001,0.0508,0.025673325746951612,0.0014000000000000002,0.0016574585635360517,-0.029400000000000003,-0.024,0.011589679134999998,-0.0037533659,0.088599,0.087103
200211,936.31,15.982333333333333,28.406666666666666,0.27697549934051,0.0123,0.06309999999999999,0.0762,0.0521,0.022909886824945404,0.0012,0.0,-0.0122,0.013000000000000001,0.004449081113,-0.0041663869,0.059019,0.057288
200212,879.82,16.073999999999998,27.589999999999996,0.29538589561836665,0.011899999999999999,0.0621,0.0745,0.0484,0.025733594769957967,0.0011,-0.0022062879205736463,0.0507,0.0361,0.0026394797,-0.0041443054,-0.058834,-0.060464
200301,855.7,16.124,28.5,0.3059423071509392,0.011699999999999999,0.0617,0.0735,0.0495,0.028289913159242244,0.001,0.004422332780541716,-0.0106,0.0021000000000000003,0.005167513391,,-0.026579,-0.02786
200302,841.15,16.174,29.41,0.312251320581896,0.011699999999999999,0.059500000000000004,0.0706,0.0472,0.02791621307154707,0.0009,0.007705008255366019,0.0329,0.0264,0.002564160074,,-0.015246,-0.017225
200303,848.18,16.224,30.32,0.2861177007992168,0.0113,0.058899999999999994,0.0695,0.0486,0.02409960362152142,0.001,0.006007646095030017,-0.0135,-0.008,0.006136132637000001,,0.010308,0.008967
200304,916.92,16.204333333333334,31.73,0.2696540306098937,0.0113,0.0574,0.06849999999999999,0.0481,0.019967818722382964,0.001,-0.0021715526601518986,0.0102,0.0229,0.00306482826,,0.082774,0.081462
200305,963.59,16.184666666666665,33.14,0.2583755061075094,0.010700000000000001,0.052199999999999996,0.0638,0.0436,0.006448996632457042,0.0009,-0.0016322089227421843,0.0592,0.0471,0.002228351412,,0.053251,0.051508
200306,974.51,16.165,34.55,0.2544883372653901,0.0092,0.049699999999999994,0.061900000000000004,0.0452,0.0012627567929301684,0.001,0.0010899182561308063,-0.0154,-0.0143,0.001997740957,,0.012816,0.011351
200307,990.31,16.305333333333333,35.89333333333333,0.24764333478963677,0.009000000000000001,0.054900000000000004,0.0662,0.0542,0.000272444692419362,0.0007000000000000001,0.0010887316276537717,-0.09820000000000001,-0.0881,0.0020460593980000004,,0.017932,0.016505
200308,1008.01,16.445666666666668,37.236666666666665,0.24285607334599177,0.0095,0.0588,0.0701,0.0532,0.0029178648123402502,0.0007000000000000001,0.0038064165307232223,0.0166,0.0219,0.00096602471,,0.019597,0.018014
200309,995.97,16.586000000000002,38.58,0.24654178263370644,0.009399999999999999,0.0572,0.0679,0.049,0.007324253578960909,0.0008,0.003250270855904569,0.0546,0.050300000000000004,0.0018691216959999999,,-0.010737,-0.012107
200310,1050.71,16.852333333333334,41.96666666666667,0.23330896667445805,0.0092,0.057,0.0673,0.0518,0.007212234247624663,0.0007000000000000001,-0.001079913606911398,-0.028300000000000002,-0.020300000000000002,0.0014075759560000002,,0.05556,0.05397
200311,1058.2,17.11866666666667,45.35333333333333,0.2337541521073348,0.009300000000000001,0.0565,0.0666,0.0519,0.01000158455170286,0.0007000000000000001,-0.002702702702702675,-0.0027,0.005200000000000001,0.000919633307,,0.009259,0.007606
200312,1111.92,17.385,48.739999999999995,0.21873986475412183,0.009000000000000001,0.0562,0.066,0.0511,0.00694843554032715,0.0008,-0.0010840108401083404,0.013900000000000001,0.013900000000000001,0.0008936987450000002,,0.05178,0.050107
200401,1131.13,17.598000000000003,49.82666666666667,0.21802772102016865,0.0088,0.0554,0.0644,0.0499,0.006886539954828099,0.0007000000000000001,0.004883342376559741,0.0187,0.0187,0.000978818637,,0.019078,0.017991
200402,1144.94,17.811,50.91333333333333,0.2160532203569188,0.009300000000000001,0.055,0.06269999999999999,0.0483,0.009363907795805572,0.0006,0.005399568034557323,0.023,0.0178,0.0006107118710000001,,0.014403,0.012716
200403,1126.21,18.024,52.0,0.281731465479788,0.009399999999999999,0.0533,0.0611,0.0474,0.012282048951529687,0.0009,0.0064446831364124435,0.0141,0.0118,0.0019812629170000004,,-0.014982,-0.016267
200404,1107.3,18.216666666666665,53.383333333333326,0.28537186680057935,0.009399999999999999,0.057300000000000004,0.0646,0.0531,0.013766290329766026,0.0008,0.0032017075773744796,-0.0588,-0.0534,0.001230928287,,-0.015584,-0.016719
200405,1120.68,18.409333333333333,54.766666666666666,0.2864115738900421,0.0102,0.0604,0.0675,0.0539,0.01633009403867897,0.0006,0.005851063829787284,-0.0051,-0.0071,0.0009776264459999998,,0.013629,0.012024
200406,1140.84,18.601999999999997,56.15,0.2796316029545359,0.0127,0.0601,0.0678,0.0532,0.014491437473852866,0.0008,0.0031729243786355887,0.0121,0.0093,0.0007707513740000001,,0.019488,0.018019
200407,1101.72,18.788999999999998,56.69,0.2877883095275901,0.013300000000000001,0.0582,0.0662,0.0523,0.014720681566114287,0.001,-0.001581444385872377,0.0155,0.0184,0.000777089179,,-0.032954,-0.034111
200408,1104.24,18.976,57.230000000000004,0.2868206158491516,0.0148,0.0565,0.0646,0.0493,0.014278707379752188,0.0011,0.000527983104540608,0.0395,0.0395,0.0014428365800000004,,0.003807,0.002019
200409,1114.58,19.163,57.77,0.2894853014849801,0.0165,0.0546,0.06269999999999999,0.0488,0.009132266737347728,0.0011,0.0021108179419524475,0.0096,0.0101,0.0007056802259999999,,0.010817,0.009347
200410,1130.2,19.256,58.03,0.29100959663803533,0.0176,0.0547,0.0621,0.0478,0.007428866652320913,0.0011,0.00526592943654558,0.0154,0.0164,0.001230486751,,0.014973,0.013699
200411,1173.82,19.349,58.29,0.27983164589250886,0.0207,0.0552,0.062,0.0502,0.012176920019086405,0.0015,0.0005238344683080598,-0.0234,-0.02,0.0008574002369999999,,0.040559,0.035572
200412,1211.92,19.442,58.55,0.27061924267899223,0.0219,0.0547,0.061500000000000006,0.0484,0.013001305365511818,0.0016,-0.003664921465968529,0.025,0.0257,0.0007278431099999999,,0.033734,0.032086
200501,1181.27,19.703000000000003,59.10666666666667,0.2781798561288244,0.0233,0.0536,0.0602,0.0465,0.013545480195638768,0.0016,0.0021019442984759884,0.03,0.0277,0.0008213965099999999,,-0.023824,-0.024749
200502,1203.6,19.964000000000002,59.663333333333334,0.27104102364523147,0.0254,0.052000000000000005,0.0582,0.0479,0.01175839869547987,0.0016,0.0057682223387520715,-0.0128,-0.0112,0.0008344462299999999,,0.021152,0.019015
200503,1180.59,20.225,60.22,0.3198568893424831,0.0274,0.054000000000000006,0.060599999999999994,0.0488,0.009096661529727497,0.0021,0.007820646506777829,-0.0072,-0.0125,0.000859895714,,-0.01724,-0.018729
200504,1156.85,20.458333333333336,61.233333333333334,0.32962440066283966,0.0278,0.0533,0.0605,0.0461,0.007935532660920668,0.0021,0.0067252974650799935,0.0373,0.0327,0.00182587057,,-0.018926,-0.020076
200505,1191.5,20.69166666666667,62.24666666666667,0.32096550459136297,0.028399999999999998,0.051500000000000004,0.0601,0.044,0.004776584063324951,0.0024,-0.0010277492291880241,0.0297,0.0295,0.0008593926830000001,,0.031994,0.030156
200506,1191.33,20.925,63.26,0.32697905687315876,0.0297,0.0496,0.058600000000000006,0.0429,0.005365446385080897,0.0023,0.0005144032921811093,0.0167,0.0141,0.0005421325960000001,,0.001717,0.000139
200507,1234.18,21.107000000000003,64.33,0.31573427460621317,0.0322,0.0506,0.059500000000000004,0.0456,0.004480055311163906,0.0024,0.004627249357326502,-0.0288,-0.0244,0.0006499132879999999,,0.037364,0.036163
200508,1220.33,21.289,65.4,0.32053312471378415,0.0344,0.0509,0.0596,0.0432,0.0054049188082676445,0.003,0.0051177072671442225,0.0333,0.0233,0.0006967006769999999,,-0.009159,-0.011265
200509,1228.81,21.471000000000004,66.47,0.31789150983564674,0.0342,0.0513,0.0603,0.0464,0.006716247889882326,0.0029,0.012219959266802416,-0.0338,-0.031,0.0006598993309999999,,0.008067,0.006916
200510,1207.01,21.719333333333335,67.59,0.32180818710985654,0.0371,0.0535,0.063,0.0484,0.005749516951581172,0.0027,0.002012072434607548,-0.0196,-0.0204,0.0018179842920000003,,-0.015672,-0.016697
200511,1249.48,21.96766666666667,68.71000000000001,0.310914345628811,0.0388,0.0542,0.0639,0.0481,0.005767935069687243,0.0031,-0.008032128514056214,0.0076,0.0099,0.0005398964150000001,,0.038289,0.035675
200512,1248.29,22.216,69.83,0.3134779566130161,0.038900000000000004,0.0537,0.0632,0.0461,0.0030595281478371676,0.0032,-0.004048582995951344,0.0267,0.0225,0.00043300026,,-6e-05,-0.001396
200601,1280.08,22.405333333333335,70.77666666666667,0.30922625786250346,0.0424,0.0529,0.062400000000000004,0.0474,-0.0004457562323218585,0.0034999999999999996,0.007621951219512146,-0.0118,-0.0093,0.0009753876000000001,,0.026442,0.025424
200602,1280.66,22.594666666666665,71.72333333333333,0.3056103611163415,0.0443,0.0535,0.06269999999999999,0.0457,0.0020379615970766234,0.0034000000000000002,0.0020171457387794245,0.0238,0.0128,0.0006485510200000001,,0.002425,0.000167
200603,1294.87,22.784,72.67,0.3160094407218444,0.0451,0.0553,0.0641,0.0507,0.0021522975331640295,0.0037,0.005535983895319729,-0.0539,-0.0404,0.0005452381439999999,,0.012909,0.011511
200604,1310.61,23.001666666666665,73.27666666666667,0.30884197784139195,0.046,0.0584,0.0668,0.0532,-0.0034725143982301462,0.0036,0.008508508508508372,-0.0247,-0.0224,0.0005998004669999999,,0.012064,0.01085
200605,1270.09,23.219333333333335,73.88333333333333,0.3143403075308619,0.0472,0.059500000000000004,0.0675,0.0535,-0.0026567341614772166,0.0043,0.00496277915632759,0.001,-0.002,0.001355149012,,-0.028319,-0.030519
200606,1270.2,23.437,74.49,0.314850289949436,0.0479,0.058899999999999994,0.0678,0.0531,-0.0021952301925095667,0.004,0.0019753086419753707,0.0092,0.0039,0.002102820483,,0.001587,0.000348
200607,1276.66,23.656666666666666,75.85,0.3138521752812525,0.0495,0.058499999999999996,0.0676,0.0518,-0.0023627131681439265,0.004,0.0029571217348447476,0.0199,0.0237,0.001451664947,,0.005571,0.00451
200608,1303.82,23.87633333333333,77.21,0.30846179867588075,0.0496,0.056799999999999996,0.0659,0.0496,-0.008473996728187003,0.0042,0.0019656019656020263,0.0299,0.0361,0.0004692382800000001,,0.02415,0.021679
200609,1335.85,24.095999999999997,78.57,0.3005932835405559,0.0481,0.055099999999999996,0.0643,0.0484,-0.00949337211559085,0.0040999999999999995,-0.004904364884747436,0.017,0.0183,0.000513377211,,0.026487,0.025296
200610,1377.94,24.358666666666664,79.55,0.2905991608123019,0.0492,0.055099999999999996,0.0642,0.0481,-0.008934885839326114,0.0040999999999999995,-0.005421389847215297,0.0077,0.0127,0.00045057733999999996,,0.032527,0.03142
200611,1400.63,24.621333333333332,80.53,0.28724186769192755,0.049400000000000006,0.0533,0.062,0.0467,-0.015111029934689737,0.0042,-0.0014866204162538033,0.0207,0.0246,0.000592202888,,0.018385,0.015887
200612,1418.3,24.884,81.50999999999999,0.28168239971435793,0.048499999999999995,0.053200000000000004,0.0622,0.0491,-0.015036780227558307,0.004,0.0014888337468983437,-0.0236,-0.0232,0.0003575089390000001,,0.013768,0.012294
200701,1438.24,25.087333333333333,82.05666666666666,0.2781442104821145,0.049800000000000004,0.054000000000000006,0.0634,0.0502,-0.013987559318552856,0.0044,0.0030525272547075044,-0.0102,-0.0051,0.000450484789,,0.015313,0.014345
