TICKER,date,PRC,VOL,RET,vwretd,ewretd
PYPL,20190228,98.07,1318903.0,0.104890,0.032724,0.038566
PYPL,20190329,103.84,1296385.0,0.058835,0.012964,-0.003896
PYPL,20190430,112.77,1504825.0,0.085998,0.037889,0.020323
PYPL,20190531,109.75,1110455.0,-0.026780,-0.061679,-0.064571
PYPL,20190628,114.46,1169186.0,0.042916,0.067279,0.049002
PYPL,20190731,110.4,1428939.0,-0.035471,0.011854,-0.005245
PYPL,20190830,109.05,1492901.0,-0.012228,-0.020339,-0.040001
PYPL,20190930,103.59,1357628.0,-0.050069,0.016033,0.017681
PYPL,20191031,104.1,1700072.0,0.004923,0.019256,0.006291
PYPL,20191129,108.01,1364292.0,0.037560,0.034997,0.026601
PYPL,20191231,108.17,1278304.0,0.001481,0.028491,0.044379
PYPL,20200131,113.89,1618205.0,0.052880,-0.001728,-0.013334
PYPL,20200228,107.99,1487755.0,-0.051804,-0.077918,-0.069814
PYPL,20200331,95.74,2790916.0,-0.113436,-0.141733,-0.207501
PYPL,20200430,123.0,1982178.0,0.284730,0.129677,0.153872
PYPL,20200529,155.00999,2092053.0,0.260244,0.053739,0.06407
PYPL,20200630,174.23,1578658.0,0.123992,0.025299,0.057391
PYPL,20200731,196.07001,1746069.0,0.125352,0.055529,0.040736
PYPL,20200831,204.14,1382769.0,0.041159,0.068443,0.038884
PYPL,20200930,197.03,1931553.0,-0.034829,-0.035057,-0.027356
PYPL,20201030,186.13,1737083.0,-0.055321,-0.020178,0.000584
PYPL,20201130,214.12,2437151.0,0.150379,0.123707,0.174412
PYPL,20201231,234.2,1576149.0,0.093779,0.045048,0.072853
TXN,20100129,22.5,3167973.0,-0.132003,-0.037186,-0.011388
TXN,20100226,24.38,3009160.0,0.083556,0.034754,0.033603
TXN,20100331,24.47,3355408.0,0.003692,0.063688,0.069289
TXN,20100430,26.01,3294086.0,0.067838,0.020039,0.057843
TXN,20100528,24.42,3729733.0,-0.061130,-0.079267,-0.076929
TXN,20100630,23.28,3394249.0,-0.046683,-0.050802,-0.056799
TXN,20100730,24.69,2950907.0,0.065722,0.070384,0.05994
TXN,20100831,23.02,2848649.0,-0.067639,-0.042887,-0.047566
TXN,20100930,27.14,2906638.0,0.178975,0.091669,0.096418
TXN,20101029,29.57,3140167.0,0.094326,0.038606,0.040681
TXN,20101130,31.8,2562368.0,0.075414,0.005121,0.010736
TXN,20101231,32.5,2046292.0,0.022013,0.067213,0.068851
TXN,20110131,33.91,1734536.0,0.047385,0.01919,0.014412
TXN,20110228,35.61,1732900.0,0.050133,0.038168,0.037036
TXN,20110331,34.56,2539730.0,-0.029486,0.003343,0.008605
TXN,20110429,35.53,2510913.0,0.031829,0.028602,0.019203
TXN,20110531,35.3,1676071.0,-0.006473,-0.014958,-0.018549
TXN,20110630,32.83,2175181.0,-0.069972,-0.018453,-0.024106
TXN,20110729,29.75,2226294.0,-0.089857,-0.02255,-0.021813
TXN,20110831,26.21,3493541.0,-0.118992,-0.057597,-0.075715
TXN,20110930,26.65,2929858.0,0.016788,-0.08503,-0.10092
TXN,20111031,30.73,3026260.0,0.159475,0.114215,0.107697
TXN,20111130,30.1,2353579.0,-0.020501,-0.006273,-0.020645
TXN,20111230,29.11,2042546.0,-0.032890,0.003671,-0.003561
TXN,20120131,32.38,2242777.0,0.118172,0.05414,0.085342
TXN,20120229,33.35,1588402.0,0.029957,0.041253,0.036494
TXN,20120330,33.61,1759878.0,0.007796,0.024039,0.017608
TXN,20120430,31.94,2195604.0,-0.044630,-0.00684,-0.009106
TXN,20120531,28.48,1818177.0,-0.108328,-0.065641,-0.068418
TXN,20120629,28.69,1999780.0,0.007374,0.038181,0.034188
TXN,20120731,27.24,1739869.0,-0.044615,0.010306,-0.003281
TXN,20120831,29.04,1831207.0,0.066079,0.026337,0.02482
TXN,20120928,27.555,1775300.0,-0.051136,0.026532,0.034925
TXN,20121031,28.09,2020522.0,0.027037,-0.014064,-0.013477
TXN,20121130,29.47,1879446.0,0.049128,0.006219,0.00279
TXN,20121231,30.89,1523648.0,0.048185,0.01258,0.021872
TXN,20130131,33.08,1782416.0,0.077695,0.054189,0.063509
TXN,20130228,34.428,1965686.0,0.040750,0.008284,0.003491
TXN,20130328,35.48,1877265.0,0.030556,0.03532,0.031419
TXN,20130430,36.21,2242467.0,0.028467,0.014942,0.002477
TXN,20130531,35.91,1957198.0,-0.008285,0.019155,0.023985
TXN,20130628,34.85,1601043.0,-0.029518,-0.015071,-0.013012
TXN,20130731,39.18,1701051.0,0.132281,0.05269,0.054898
TXN,20130830,38.2,1342186.0,-0.025013,-0.025761,-0.017278
TXN,20130930,40.29,1036347.0,0.054712,0.037514,0.051828
TXN,20131031,42.085,1755274.0,0.051998,0.039908,0.025762
TXN,20131129,43.0,983439.0,0.021742,0.024973,0.023398
TXN,20131231,43.91,949840.0,0.021163,0.02616,0.025242
TXN,20140131,42.4,1447936.0,-0.027556,-0.030047,-0.001282
TXN,20140228,44.96,1175536.0,0.060377,0.046225,0.044257
