datadate,fyearq,fqtr,tic,conm,rating,atq,ceqq,cheq,chq,cshoq,dlcq,dpq,intanq,ltq,niq,pstkq,pstkrq,seqq,txditcq,xsgaq,capxy,epspxy,costat,mkvaltq,sic
20150630,2015,2,PNW,PINNACLE WEST CAPITAL CORP,BBB-,14701.483,4392.836,13.557,13.557,110.811,260.223,122.739,,10175.84,122.902,0,0,4392.836,2790.663,,539.573,1.25,A,6304.0378,4911
20150930,2015,3,PNW,PINNACLE WEST CAPITAL CORP,BBB-,14875.018,4653.651,13.007,13.007,110.847,468.433,125.625,,10083.699,257.116,0,0,4653.651,2861.543,,790.756,3.57,A,7109.7266,4911
20151231,2015,4,PNW,PINNACLE WEST CAPITAL CORP,BBB-,15028.258,4583.917,39.488,39.488,110.98,357.58,125.109,,10308.801,41.117,0,0,4583.917,2910.505,,1092.346,3.94,A,7155.9904,4911
20160331,2016,1,PNW,PINNACLE WEST CAPITAL CORP,BBB-,15185.101,4599.999,14.484,14.484,111.14,619.38,119.476,116.014,10444.688,4.453,0,0,4599.999,2913.186,,383.727,0.04,A,8343.2798,4911
20160630,2016,2,PNW,PINNACLE WEST CAPITAL CORP,BBB-,15538.565,4585.268,43.04,43.04,111.174,357.72,123.073,108.751,10819.382,121.308,0,0,4585.268,2979.739,,742.137,1.13,A,9011.7644,4911
20160930,2016,3,PNW,PINNACLE WEST CAPITAL CORP,BBB-,15805.726,4853.346,48.267,48.267,111.218,134.17,120.428,96.789,10813.591,263.027,0,0,4853.346,3122.297,,1029.758,3.49,A,8451.4558,4911
20161231,2016,4,PNW,PINNACLE WEST CAPITAL CORP,BBB-,16004.253,4803.622,8.881,8.881,111.337,302.2,122.852,90.022,11068.341,53.246,0,0,4803.622,3155.394,,1295.442,3.97,A,8687.6261,4911
20170331,2017,1,PNW,PINNACLE WEST CAPITAL CORP,BBB-,16192.825,4828.776,3.028,3.028,111.558,332.297,127.627,251.208,11226.885,23.312,0,0,4828.776,3165.259,,353.296,0.21,A,9301.706,4911
20170630,2017,2,PNW,PINNACLE WEST CAPITAL CORP,BBB-,16669.727,4859.412,4.953,4.953,111.623,689,125.739,265.926,11679.65,167.443,0,0,4859.412,3254.976,,703.004,1.71,A,9505.8147,4911
20170930,2017,3,PNW,PINNACLE WEST CAPITAL CORP,BBB-,16977.867,5142.068,10.674,10.674,111.657,338.4,133.912,256.198,11700.26,276.072,0,0,5142.068,3388.27,,1043.131,4.18,A,9441.7159,4911
20171231,2017,4,PNW,PINNACLE WEST CAPITAL CORP,BBB-,17019.082,5006.69,13.892,13.892,111.752,177.4,146.84,257.189,11883.352,21.629,0,0,5006.69,1896.38,,1430.886,4.37,A,9519.0354,4911
20180331,2018,1,PNW,PINNACLE WEST CAPITAL CORP,BBB-,17148.306,5019.757,15.44,15.44,111.933,951.9,144.825,262.523,11994.635,3.221,0,0,5019.757,1895.029,,367.792,0.03,A,8932.2534,4911
20180630,2018,2,PNW,PINNACLE WEST CAPITAL CORP,BBB-,17492.173,5032.019,3.839,3.839,111.972,1216.249,145.436,257.04,12332.739,166.738,0,0,5032.019,1930.497,,692.995,1.52,A,9020.4643,4911
20180930,2018,3,PNW,PINNACLE WEST CAPITAL CORP,BBB-,17671.955,5353.572,64.991,64.991,111.999,728.2,145.971,268.63,12186.094,315.012,0,0,5353.572,2011.65,,917.414,4.33,A,8868.0808,4911
20181231,2018,4,PNW,PINNACLE WEST CAPITAL CORP,BBB-,17664.202,5222.915,5.766,5.766,112.102,576.4,146.122,262.902,12315.497,26.076,0,0,5222.915,2007.826,,1203.349,4.56,A,9551.0904,4911
20190331,2019,1,PNW,PINNACLE WEST CAPITAL CORP,BBB-,17854.107,5251.062,6.109,6.109,112.277,559.485,148.707,267.998,12472.382,17.918,0,0,5251.062,2011.741,,266.457,0.16,A,10731.4357,4911
20190630,2019,2,PNW,PINNACLE WEST CAPITAL CORP,BBB-,18165.666,5233.078,1.648,1.648,112.303,742.969,147.374,261.584,12808.423,144.145,0,0,5233.078,2035.894,,552.56,1.44,A,10566.5893,4911
20190930,2019,3,PNW,PINNACLE WEST CAPITAL CORP,BBB-,18377.566,5552.666,29.852,29.852,112.346,533.596,149.45,266.587,12695.861,312.276,0,0,5552.666,2169.107,,872.528,4.22,A,10905.4262,4911
20191231,2019,4,PNW,PINNACLE WEST CAPITAL CORP,BBB-,18479.247,5430.648,10.283,10.283,112.436,927.388,145.398,290.564,12926.059,63.981,0,0,5430.648,2188.807,,1209.975,4.79,A,10111.3695,4911
